SortType,Threads,OuterOrOnlyMethod,InnerMethod,SortLength,SortThreshold,SortTime,Run
serial,1,Bitonic,std::sort,10,10,9.42e-07,1
serial,1,Bitonic,std::sort,20,20,2.585e-06,1
serial,1,Bitonic,std::sort,80,32,7.073e-06,1
serial,1,Bitonic,std::sort,20,10,2.895e-06,1
serial,1,Bitonic,std::sort,80,64,6.132e-06,1
serial,1,Bitonic,std::sort,90,20,8.095e-06,1
serial,1,Bitonic,std::sort,20,16,2.315e-06,1
serial,1,Bitonic,std::sort,90,30,8.366e-06,1
serial,1,Bitonic,std::sort,90,40,4.95e-06,1
serial,1,Bitonic,std::sort,90,50,4.889e-06,1
serial,1,Bitonic,std::sort,90,10,1.7413e-05,1
serial,1,Bitonic,std::sort,90,60,5.491e-06,1
serial,1,Bitonic,std::sort,90,70,3.386e-06,1
serial,1,Bitonic,std::sort,90,80,3.547e-06,1
serial,1,Bitonic,std::sort,90,64,2.114e-06,1
serial,1,Bitonic,std::sort,90,32,3.797e-06,1
serial,1,Bitonic,std::sort,90,16,8.887e-06,1
serial,1,Bitonic,std::sort,100,20,7.454e-06,1
serial,1,Bitonic,std::sort,100,40,1.7834e-05,1
serial,1,Bitonic,std::sort,100,50,3.327e-06,1
serial,1,Bitonic,std::sort,100,60,3.787e-06,1
serial,1,Bitonic,std::sort,100,70,2.274e-06,1
serial,1,Bitonic,std::sort,100,80,2.014e-06,1
serial,1,Bitonic,std::sort,100,10,3.9794e-05,1
serial,1,Bitonic,std::sort,100,90,1.923e-06,1
serial,1,Bitonic,std::sort,100,100,1.923e-06,1
serial,1,Bitonic,std::sort,30,10,3.737e-06,1
serial,1,Bitonic,std::sort,100,32,3.176e-06,1
serial,1,Bitonic,std::sort,100,64,5.861e-06,1
serial,1,Bitonic,std::sort,128,20,1.062e-05,1
serial,1,Bitonic,std::sort,100,30,6.0193e-05,1
serial,1,Bitonic,std::sort,128,30,7.584e-06,1
serial,1,Bitonic,std::sort,128,40,1.1221e-05,1
serial,1,Bitonic,std::sort,128,50,6.833e-06,1
serial,1,Bitonic,std::sort,128,60,6.513e-06,1
serial,1,Bitonic,std::sort,128,70,6.261e-06,1
serial,1,Bitonic,std::sort,128,90,3.667e-06,1
serial,1,Bitonic,std::sort,128,80,7.504e-06,1
serial,1,Bitonic,std::sort,128,100,3.156e-06,1
serial,1,Bitonic,std::sort,30,20,2.635e-06,1
serial,1,Bitonic,std::sort,64,50,0.000297398,1
serial,1,Bitonic,std::sort,90,90,0.000106089,1
serial,1,Bitonic,std::sort,128,32,6.172e-06,1
serial,1,Bitonic,std::sort,128,64,8.786e-06,1
serial,1,Bitonic,std::sort,128,16,1.3194e-05,1
serial,1,Bitonic,std::sort,16,16,1.333e-06,1
serial,1,Bitonic,std::sort,128,128,6.282e-06,1
serial,1,Bitonic,std::sort,100,16,7.2035e-05,1
serial,1,Bitonic,std::sort,200,60,1.2253e-05,1
serial,1,Bitonic,std::sort,200,30,1.6311e-05,1
serial,1,Bitonic,std::sort,200,10,2.4526e-05,1
serial,1,Bitonic,std::sort,200,70,1.2694e-05,1
serial,1,Bitonic,std::sort,200,50,1.9987e-05,1
serial,1,Bitonic,std::sort,200,80,7.665e-06,1
serial,1,Bitonic,std::sort,200,90,1.107e-05,1
serial,1,Bitonic,std::sort,200,200,8.366e-06,1
serial,1,Bitonic,std::sort,200,100,1.2203e-05,1
serial,1,Bitonic,std::sort,200,128,4.889e-06,1
serial,1,Bitonic,std::sort,200,64,7.303e-06,1
serial,1,Bitonic,std::sort,200,32,1.2965e-05,1
serial,1,Bitonic,std::sort,200,16,1.9266e-05,1
serial,1,Bitonic,std::sort,256,40,1.8064e-05,1
serial,1,Bitonic,std::sort,256,20,2.2953e-05,1
serial,1,Bitonic,std::sort,256,30,2.2753e-05,1
serial,1,Bitonic,std::sort,256,60,1.1442e-05,1
serial,1,Bitonic,std::sort,256,10,2.9655e-05,1
serial,1,Bitonic,std::sort,200,20,2.5007e-05,1
serial,1,Bitonic,std::sort,200,40,1.8274e-05,1
serial,1,Bitonic,std::sort,128,10,1.1141e-05,1
serial,1,Bitonic,std::sort,40,32,2.966e-06,1
serial,1,Bitonic,std::sort,256,50,2.3584e-05,1
serial,1,Bitonic,std::sort,64,32,5.25e-06,1
serial,1,Bitonic,std::sort,256,90,1.2333e-05,1
serial,1,Bitonic,std::sort,70,50,4.889e-06,1
serial,1,Bitonic,std::sort,64,60,4.398e-06,1
serial,1,Bitonic,std::sort,256,80,1.621e-05,1
serial,1,Bitonic,std::sort,256,100,1.597e-05,1
serial,1,Bitonic,std::sort,256,200,1.7363e-05,1
